what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1401551912648
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1401551912648
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1401551912648
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1401551912648
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1401551912648
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1401551912648
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1401551912648
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1401551912648
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1401551912648
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1401551912648
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1401551912648
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1401551912648
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1401551912648
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1401551912648
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1401551912648
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1401551912648
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401551912648
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1401551912648
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401551912648
os,sysinfo,,,"win32",1401551912651
arch,sysinfo,,,"x86_64",1401551912651
ws,sysinfo,,,"win32",1401551912651
locale,sysinfo,,,"pt_BR",1401551912651
processors,sysinfo,,,"4",1401551912651
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401551912651
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1401551912651
java.specification.name,sysinfo,,,"Java Platform API Specification",1401551912651
java.specification.vendor,sysinfo,,,"Oracle Corporation",1401551912651
java.specification.version,sysinfo,,,"1.7",1401551912651
java.vendor,sysinfo,,,"Oracle Corporation",1401551912651
java.version,sysinfo,,,"1.7.0_51",1401551912651
java.vm.info,sysinfo,,,"mixed mode",1401551912651
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1401551912651
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401551912651
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1401551912651
java.vm.specification.version,sysinfo,,,"1.7",1401551912651
java.vm.vendor,sysinfo,,,"Oracle Corporation",1401551912651
java.vm.version,sysinfo,,,"24.51-b03",1401551912651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401552007890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401552839946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401552843700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401552846633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401552878130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556267714
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556269696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556272020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556282394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556289570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556290881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556479511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556480854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556482297
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401556482484
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1401556482674
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1401556482760
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1401556482760
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1401556482760
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1401556482760
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1401556482761
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1401556482761
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1401556482762
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1401556482762
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1401556482762
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1401556482762
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1401556482814
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1401556482814
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1401556482815
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1401556482815
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1401556482815
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1401556482815
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1401556482819
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1401556482819
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1401556482819
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1401556482819
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1401556482819
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1401556482819
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1401556482820
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1401556482820
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1401556482820
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1401556482820
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1401556482820
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1401556482820
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1401556482821
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1401556482821
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1401556482822
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1401556482822
stopped,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1401556482822
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1401556482822
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1401556482822
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1401556482822
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1401556482822
stopped,bundle,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets",1401556482822
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1401556482822
